module	module_size	in_in	in_out	out_in	out_out	odds_ratio	p_value	p_adj
M00060	10	7	371	3	2134	13.421383647798741	0.0001309232331177947	0.02327840012029846
M00144	16	9	369	7	2130	7.421602787456446	0.00015314736921248986	0.02327840012029846
M00866	11	7	371	4	2133	10.06132075471698	0.0003137272991821563	0.031791032983791837
M00913	5	3	375	2	2135	8.54	0.0266214109858965	1.0
M00116	9	4	374	5	2132	4.560427807486631	0.03388596580136729	1.0
M00045	8	3	375	5	2132	3.4112	0.1053959685486787	1.0
M00572	10	3	375	7	2130	2.434285714285714	0.18024258840057758	1.0
M00119	6	2	376	4	2133	2.836436170212766	0.22409995632888244	1.0
M00124	6	2	376	4	2133	2.836436170212766	0.22409995632888244	1.0
M00133	7	2	376	5	2132	2.2680851063829786	0.2841947486891471	1.0
M00129	7	2	376	5	2132	2.2680851063829786	0.2841947486891471	1.0
M00932	13	3	375	10	2127	1.7016	0.3090198394281124	1.0
M00538	8	2	376	6	2131	1.8891843971631206	0.3437943420693032	1.0
M00854	11	2	376	9	2128	1.2576832151300237	0.5093355467884874	1.0
M00568	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00021	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00135	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00615	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00076	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00552	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00575	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00899	5	1	377	4	2133	1.4144562334217508	0.5573842932694304	1.0
M00034	19	3	375	16	2121	1.0605	0.560809233602656	1.0
M00017	13	2	376	11	2126	1.0280464216634428	0.603515827388399	1.0
M00123	6	1	377	5	2132	1.1310344827586207	0.6240411606575402	1.0
M00052	6	1	377	5	2132	1.1310344827586207	0.6240411606575402	1.0
M00840	6	1	377	5	2132	1.1310344827586207	0.6240411606575402	1.0
M00149	6	1	377	5	2132	1.1310344827586207	0.6240411606575402	1.0
M00577	6	1	377	5	2132	1.1310344827586207	0.6240411606575402	1.0
M00053	14	2	376	12	2125	0.9419326241134752	0.6452223601890631	1.0
M00083	14	2	376	12	2125	0.9419326241134752	0.6452223601890631	1.0
M00914	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00565	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00050	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00835	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00845	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00896	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00909	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00061	7	1	377	6	2131	0.9420866489832007	0.6806822293189392	1.0
M00040	8	1	377	7	2130	0.8071239105721865	0.7288090703546015	1.0
M00868	8	1	377	7	2130	0.8071239105721865	0.7288090703546015	1.0
M00126	17	2	376	15	2122	0.7524822695035461	0.7496024053657524	1.0
M00549	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
M00078	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
M00526	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
M00044	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
M00012	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
M00049	9	1	377	8	2129	0.7059018567639257	0.7696986480993006	1.0
